MBLNR|MJAHR|BLDAT|BUDAT|WERKS|MATNR|MENGE|MEINS|ERFMG|ERFME|BWART|SHKZG|NETWR|WAERS|LIFNR|XBLNR
5199119351|2025|01012025|"=""01.01.2025"""|UK01  |959080248047213209|5023.189|L|5023.189|L|122|S|793417.68|GBP|000005551|PO-2026676
5464413375|2025|01012025|01012025|FRA01 |Z-CHEM-6279|400.149|EA|400.149|EA|101|H|123567.15|EUR|000000112|PO-2026847
5936649273|2025|01012025|01/01/2025|LON02 |375733273595875601|446.206|BOX|446.206|BOX|261|S|136974.42|GBP|000005551|PO-2025221
5340641286|2025|01012025|02012025|LON02 |MAT_878707_B|11757.846|L|11757.846|L|101|H|5325889.64|GBP|000005551|PO-2025787
5681543238|2025|01012025|01012025|UK01  |Z-FUEL-3895|1792.211|L|1792.211|L|101|H|338203.45|GBP|000005551|PO-2025457
5560398543|2025|02012025|01012025|MUM01 |MAT_659884_REV2|1291.833|L|1291.833|L|321|S|307162.21||000009981|PO-2025112
5357455043|2025|02012025|02012025|DE01  |Z-FUEL-8553|1840.302|L||L|101|H|835599.43|EUR|000000112|PO-2025268
5891690722|2025|03012025|02012025|DE01  |MAT_736007_REV2|300.048|KG|300.048|KG|201|S|61899.28|EUR|000000112|
5912592199|2025|03012025|03012025|LON02 |398939783083774829|1540.856|L||L|501|H|739459.54|GBP|000005551|PO-2026466
5984650277|2025|04012025|02012025|UK01  |RMF-IND-367L|1753.462|L|1753.462|L|122|S|738011.39|GBP|000005551|PO-2026480
5041251705|2025|01012025|03012025|DE02  |MAT_954807_REV2|394.325|KG|394.325|KG|541|H|24523.61|EUR|000000112|PO-2026188
5210643683|2025|01012025|02012025|US01  |RMF-LUB-616KG|1908.96|L|1908.96|L|541|H|455149.2|USD|000002212|PO-2025778
5586204991|2025|04012025|03.01.2025|MUM01 |RMF-DIE-250KG|7571.165|L|7571.165|L|101|H|3568011.27|INR|000009981|PO-2026801
5489601960|2025|03.01.2025|01012025|DE01  |Z-FUEL-3876|1429121.0|L|1429.121|L|261|H|449900.62|EUR|000000112|PO-2025706
5103598170|2025|01012025|01012025|IN01  |RMF-DIE-797MT|800.278|L|800.278|L|321|H|174089.88|INR|000009981|PO-2026021
5012399120|2025|02012025|03012025|MUM01 |RMF-IND-870L|5646.073|L|5646.073|L|541|S|2594489.28|INR|000009981|PO-2025468
